FileName,MS,TDR,ebike,equity,carMiles,carMilesR,carMiles.pers,carMilesR.pers,carMilesCycled,milesCycled.pers,milesCycled.male,milesCycled.female,milesCycled.white,milesCycled.nonwhite,milesCycled.caraccess,milesCycled.noncaraccess,METh,METhincr,MMETh,MMETh.pers,MMEThincr,CO2.Tm,CO2R.perc,CO2.pers,TripDisIncSW,TripTotalTime1,timeSaved.Total.h,timeSavedCyclists.perc,nocarTrips.people.perc,nocar.males.perc,nocar.females.perc,nocar.white.perc,nocar.nonwhite.perc,nocar.caraccess,nocar.noncaraccess,nopeople,nocyclists,newcyclists,cyclist.potential,cyclists.perc,cyclists.incr,cyclist.male.perc,cyclist.female.perc,cyclist.white.perc,cyclist.nonwhite.perc,cyclist.caraccess.perc,cyclist.noncaraccess.perc,cyclist.nssec1.perc,cyclist.nssec2.perc,cyclist.nssec3.perc,cyclist.nssec4.perc,cyclist.nssec5.perc,trips.bike.perc,trips.nssec1.perc,trips.nssec2.perc,trips.nssec3.perc,trips.nssec4.perc,trips.nssec5.perc,trips.age20.39.perc,trips.age40.59.perc,trips.age60plus.perc,nopeopleWithTrips,People.with.NoTrips,YLL.Reduction.20.39.Males,YLL.Reduction.40.59.Males,YLL.Reduction.60p.Males,YLL.Reduction.20.39.Females,YLL.Reduction.40.59.Females,YLL.Reduction.60p.Females,YLL.Reduction.20.39.All,YLL.Reduction.40.59.All,YLL.Reduction.60p.All,YLL.20.39.Males,YLL.40.59.Males,YLL.60p.Males,YLL.20.39.Females,YLL.40.59.Females,YLL.60p.Females,YLL.20.39.All,YLL.40.59.All,YLL.60p.All
IIyear.MS64_TDR0.7_ebik1_eq1.csv,64,0.7,1,1,994025.98,649048.65,66,43.1,156126.3,13.26,14.13,12.47,13.58,10.17,14.74,6.85,131897.1,40167.2,104489.2,7.2,31906.5,240.06,39.5,0.015932833,1433575,4575966.6,28989.4,79.8,14.9,15.7,14.3,13.2,31.4,6.5,51.5,14502,10872,10663,11176,72.2,1424.8,72.2,72.1,72.2,71.2,73.2,67.9,73.8,72.3,71.3,63.2,74.3,28.6,27.2,28.8,29.5,30.8,30.8,29,28,28.7,14502,565,4.55,7.98,21.35,7.2,9.68,23.62,11.75,17.67,44.97,11299.41,66677.76,87634.1,4553.71,17730.77,78085.18,15853.11,84408.53,165719.28
IIyear.MS64_TDR0.8_ebik0_eq0.csv,64,0.8,0,0,1201166.37,441908.26,79.7,29.3,113293.3,9.82,13.8,6.2,9.96,8.49,10.87,5.3,150658.6,58928.7,123808.7,8.5,51226,290.08,26.9,0.019252671,1638372,5209575,18429.3,96.5,14.5,15.6,13.5,12.8,30.2,6.3,49.8,14502,9863,9650,10596,65.5,1283.3,74.5,57.2,65.4,65.6,67.1,58.5,68.5,63.4,64.3,55.7,70.2,20.4,19.6,19,21.8,21.5,24,22.2,21.6,16.6,14502,565,7.46,12.54,26.58,7.47,9.13,14.52,14.93,21.67,41.1,18342.87,103768.11,108212.4,4705.95,16736.03,49340.69,23048.82,120504.14,157553.09
IIyear.MS64_TDR0.8_ebik0_eq1.csv,64,0.8,0,1,1185876.34,457198.29,78.7,30.3,128583.4,11,11.48,10.56,11.24,8.73,12.14,6.05,164193.5,72463.6,135283.7,9.3,62701,286.39,27.8,0.019007765,1638372,5273241,17368.2,101.9,14.6,15.4,13.8,12.8,30.6,6.3,50.3,14502,10524,10295,11176,69.8,1376,69.6,70.1,70,68.6,71.2,64,71.9,70.4,68.7,58.9,71.7,22.2,21.1,22,23.3,22.8,24.7,22.6,22,22,14502,565,5.69,9.56,29.45,10.26,12.94,34.4,15.95,22.5,63.85,14057.41,79470.69,120419.16,6448.95,23695.82,115508.93,20506.35,103166.51,235928.09
IIyear.MS64_TDR0.8_ebik1_eq0.csv,64,0.8,1,0,1153538.86,489535.77,76.6,32.5,160920.8,13.72,16.3,11.37,13.95,11.49,15.26,7.12,139779.3,48049.4,110684.8,7.6,38102.1,278.58,29.8,0.018489414,1638372,5173378.2,19032.5,88.7,14.8,15.7,14,13.1,30.5,6.5,50.4,14502,10264,10069,10596,68.1,1339.6,76.7,60.3,68,69.1,69.5,62.1,71.2,65.9,66.8,59,73.7,26.5,25.4,25.8,27.8,28.2,29.3,28.5,27.7,22.7,14502,565,5.69,9.62,22.73,7.69,9.64,15.89,13.37,19.26,38.62,14090.73,80093.81,93294.93,4777.98,17655.23,54234.48,18868.71,97749.04,147529.4
IIyear.MS64_TDR0.8_ebik1_eq1.csv,64,0.8,1,1,1147119.77,495954.86,76.1,32.9,167339.9,14.32,15.24,13.48,14.61,11.56,15.9,7.51,142746.6,51016.7,113069.6,7.8,40486.9,277.03,30.2,0.01838654,1638372,5177252,18968,88.6,14.8,15.7,14,13.1,30.9,6.5,50.8,14502,10834,10620,11176,71.9,1419.5,71.8,72,72,70.6,73,67.2,73.5,72.3,71.3,61.8,73.6,27.8,26.4,28,29,30.3,29.4,28.4,27.2,27.8,14502,565,4.99,8.87,22.68,8.43,10.37,25.9,13.42,19.25,48.59,12387.4,73891.73,92969.56,5329.43,18984.02,86202.57,17716.83,92875.74,179172.12
IIyear.MS64_TDR0.9_ebik0_eq0.csv,64,0.9,0,0,1363103.78,279970.85,90.5,18.6,115663.4,10.12,14.31,6.31,10.27,8.63,11.22,5.37,158530.3,66800.4,130151.9,9,57569.2,329.19,17,0.02184841,1843168,5817182.4,8302.5,105.9,14.3,15.6,13.2,12.7,29.8,6.2,49.6,14502,9777,9551,10596,64.9,1271.2,74.4,56.3,64.9,64.4,66.6,57.5,68.1,62.8,63.7,54.5,69.8,19.6,18.8,18.4,20.7,20.8,22.4,21,20.9,16,14502,565,7.66,13.29,27.96,7.65,9.4,14.1,15.31,22.69,42.06,18854.41,109816.08,113708.43,4812.16,17223.82,47675.58,23666.58,127039.9,161384.01
IIyear.MS64_TDR0.9_ebik0_eq1.csv,64,0.9,0,1,1346701.69,296372.94,89.4,19.7,132065.5,11.44,12.11,10.83,11.65,9.4,12.6,6.39,173272.7,81542.8,142663.1,9.8,70080.4,325.23,18,0.021585584,1843168,5875340.5,7333.2,110.8,14.4,15.3,13.5,12.6,30.3,6.2,49.5,14502,10468,10217,11176,69.5,1368.2,69.4,69.6,69.6,68.6,70.8,63.6,71.1,70,68.7,59.9,71.1,21.5,20.4,21.3,22.7,22.7,23.3,22.1,21.1,21.5,14502,565,6.01,10.09,31.38,10.89,13.05,35.36,16.91,23.14,66.74,14892.8,84240.79,128399.21,6848.45,23899.54,117934.52,21741.24,108140.33,246333.73
IIyear.MS64_TDR0.9_ebik1_eq0.csv,64,0.9,1,0,1311611.63,331463,87.1,22,167155.5,14.37,17.08,11.9,14.66,11.6,15.95,7.54,147857.7,56127.8,117045.2,8.1,44462.5,316.75,20.2,0.021022765,1843168,5769804.7,9092.1,96.8,14.7,15.9,13.7,13,31.4,6.5,50.4,14502,10200,10001,10596,67.7,1330.6,76.2,60,67.6,68.9,69,62.2,70.7,65.5,66.3,59.1,73.6,25.6,24.4,24.8,26.8,27.2,28.5,27.3,26.7,22,14502,565,5.77,10.3,24.73,8.22,10.25,16.33,14,20.55,41.06,14331.11,85174.64,101104.49,5192.71,18766.08,54820.43,19523.82,103940.73,155924.92
IIyear.MS64_TDR0.9_ebik1_eq1.csv,64,0.9,1,1,1304361.85,338712.78,86.6,22.5,174405.3,14.96,15.94,14.07,15.29,11.9,16.6,7.89,150831,59101.1,119427.3,8.2,46844.6,315,20.6,0.020906617,1843168,5772778.7,9042.5,96.8,14.8,15.7,13.9,13.1,30.5,6.4,50.8,14502,10819,10604,11176,71.8,1417.4,71.9,71.7,72.1,69.4,72.9,66.9,73.3,72.1,71.2,62.3,73.8,26.8,25.2,26.9,28.1,30,28.8,27.4,26.3,26.8,14502,565,5.48,9.03,25.02,9.05,11.05,27.33,14.54,20.08,52.35,13552.08,75003.67,102308.78,5712.66,20215.62,90132.78,19264.74,95219.29,192441.56
IIyear.MS64_TDR1_ebik0_eq0.csv,64,1,0,0,1524185.14,118889.49,101.2,7.9,118889.5,10.61,15.03,6.6,10.72,9.6,11.63,6.2,165246.2,73516.3,135704.7,9.4,63122,368.09,7.2,0.024430212,2047965,6384913,-1159.7,108.8,14.2,15.3,13.2,12.5,30,6.1,49.2,14502,9755,9529,10596,64.7,1268.2,74,56.3,64.7,64.7,66.2,58.3,67.3,62.8,63.7,56.3,69.7,19.9,19,18.4,21.2,22.8,23.4,22,20.9,15.9,14502,565,8.3,13.39,29.67,8.23,9.91,15.31,16.53,23.3,44.98,20364.4,110676.75,121195.03,5178.12,18141.77,52367.54,25542.52,128818.52,173562.57
